Nuclide X9
    t                            Reference_solution           Series_solution             APE
   40             9158922039040010269446.4193312038    9.1589220390327770e+21      7.8975e-11
   50             1688808195378107490407.3858252444    1.6888081953767707e+21      7.9156e-11
   60             271920205822346739420.93632287466    2.7192020582213118e+20      7.9273e-11
   70             40047596638979316134.833982834214    4.0047596638947533e+19      7.9363e-11
   80             5540717775818067164.9539424304344    5.5407177758136668e+18      7.9419e-11
   90             732144925768044616.99980680611337    7.3214492576746304e+17      7.9435e-11
  100             93410722083293801.875029351866454    9.3410722083219616e+16      7.9419e-11


Nuclide X4
    t                            Reference_solution           Series_solution             APE
-----------------------------------------------------------------------------------------------
    1             2087721095361944422658.5917929298    2.0877210953610358e+21      4.3522e-11
    2             12524716448343798949327.278206517    1.2524716448337478e+22      5.0468e-11
    3             31720247961472536593707.690365785    3.1720247961455363e+22      5.4141e-11
    4              56459460299882495686190.78538766    5.6459460299850743e+22      5.6240e-11
    5             82858901039673579954180.264849108    8.2858901039625854e+22      5.7599e-11
    6             107657191245971643991026.02744157    1.0765719124590864e+23      5.8523e-11
    7             128626479820395405368055.85244325    1.2862647982031926e+23      5.9199e-11
    8             144556948919169648161677.78351664    1.4455694891908334e+23      5.9705e-11
    9             155065026408086025959800.07676909    1.5506502640799284e+23      6.0095e-11
   10             160356605915882024781453.06607309    1.6035660591578514e+23      6.0418e-11
   20             78769967853288978673548.742658287    7.8769967853240251e+22      6.1861e-11
   30             17326549198859487408560.565255853    1.7326549198848693e+22      6.2300e-11
   40             2821517461043426293631.1173668112    2.8215174610416640e+21      6.2459e-11
   50             396041551878951720754.51241516279    3.9604155187870407e+20      6.2532e-11
   60             51077479025401734204.729715053977    5.1077479025369768e+19      6.2584e-11
   70             6246785235079842629.4127259292845    6.2467852350759322e+18      6.2599e-11
   80              737123737614525367.2049641071858    7.3712373761406400e+17      6.2590e-11
   90             84789087350076601.448485582905308    8.4789087350023568e+16      6.2547e-11
  100             9569142282830153.6933892223504032    9.5691422828241760e+15      6.2468e-11


Nuclide X3
    t                            Reference_solution           Series_solution             APE
-----------------------------------------------------------------------------------------------
    1             26591602565761798209558.757580341    2.6591602565752786e+22      3.3891e-11
    2               78253197305686886070938.8068951    7.8253197305655503e+22      4.0105e-11
    3              129632470823546688358723.2551168    1.2963247082349200e+23      4.2187e-11
    4             169807400324122124433961.85968379    1.6980740032404871e+23      4.3234e-11
    5             195651189273893341811239.35699911    1.9565118927380756e+23      4.3844e-11
    6             207919634792338052392338.40603671    2.0791963479224606e+23      4.4244e-11
    7             209020173077224293361991.97554993    2.0902017307713119e+23      4.4543e-11
    8             201801094257201076141185.41301835    2.0180109425711076e+23      4.4755e-11
    9              188945142656069785179787.7392154    1.8894514265598489e+23      4.4931e-11
   10             172709736313725376781321.73509015    1.7270973631364753e+23      4.5074e-11
   20             35832085816194791390005.953805805    3.5832085816178431e+22      4.5658e-11
   30             4554900677236742294277.7275079637    4.5549006772346573e+21      4.5775e-11
   40             496138705885679397748.49820625612    4.9613870588545217e+20      4.5799e-11
   50             51011429488314168586.345226604255    5.1011429488290824e+19      4.5763e-11
   60             5129540963827997041.9001610871838    5.1295409638256527e+18      4.5703e-11
   70             511453981503846190.73853352731727    5.1145398150361267e+17      4.5658e-11
   80              50834393960440804.72449453305023    5.0834393960417624e+16      4.5600e-11
   90             5046664363026574.0634030538017506    5.0466643630242750e+15      4.5556e-11
  100             500806294577674.06139429602825985    5.0080629457744625e+14      4.5489e-11


Nuclide X2
    t                            Reference_solution           Series_solution             APE
-----------------------------------------------------------------------------------------------
    1             147602369952776484255223.55154862    1.4760236995273939e+23      2.5131e-11
    2             208741273425627519429596.59700572    2.0874127342557505e+23      2.5136e-11
    3             221403554929164731517287.41365017    2.2140355492910907e+23      2.5140e-11
    4             208741273425627524270404.44756492    2.0874127342557502e+23      2.5153e-11
    5             184502962440970613876449.58331451    1.8450296244092418e+23      2.5167e-11
    6              156555955069220646833409.2235931    1.5655595506918122e+23      2.5184e-11
    7             129152073708679432708611.75867771    1.2915207370864689e+23      2.5197e-11
    8             104370636712813766976010.07434167    1.0437063671278746e+23      2.5205e-11
    9             83026333098436780095241.377236956    8.3026333098415850e+22      2.5209e-11
   10             65231647945508605872758.749763296    6.5231647945492154e+22      2.5221e-11
   20             4076977996594288339782.5635163787    4.0769779965932570e+21      2.5297e-11
   30             191108343590357288086.76742996335    1.9110834359030881e+20      2.5367e-11
   40              7962847649598221260.259466462352    7.9628476495961948e+18      2.5449e-11
   50             311048736312430554.04571445349862    3.1104873631235098e+17      2.5583e-11
   60             11664327611716147.129220381186685    1.1664327611713156e+16      2.5643e-11
   70             425261944177151.24672961089880318    4.2526194417704175e+14      2.5748e-11
   80             15187926577755.403429990311911016    1.5187926577751475e+13      2.5865e-11
   90              533950543749.2134637484122647773    5.3395054374907458e+11      2.6011e-11
  100             18539949435.736580752125959251144    1.8539949435731747e+10      2.6072e-11


Nuclide X1
    t                            Reference_solution           Series_solution             APE
-----------------------------------------------------------------------------------------------
    1             425890414308657561831457.99668891    4.2589041430865752e+23      9.8221e-15
    2             301149999999999994925185.47989813    3.0114999999999992e+23      2.4880e-14
    3             212945207154328785854028.04009532    2.1294520715432873e+23      2.6229e-14
    4             150575000000000000954497.47989813    1.5057499999999994e+23      4.0481e-14
    5             106472603577164395396163.54092309    1.0647260357716435e+23      4.2636e-14
    6             75287500000000002223201.109923598    7.5287499999999963e+22      5.2098e-14
    7             53236301788582198932656.530899262    5.3236301788582165e+22      6.3740e-14
    8             37643750000000001984576.739949066    3.7643749999999973e+22      7.6997e-14
    9             26618150894291100083615.645668489    2.6618150894291078e+22      8.2964e-14
   10             18821875000000001428776.462468166    1.8821874999999985e+22      8.7286e-14
   20             588183593750000112850.52890426039    5.8818359374999906e+20      1.7900e-13
   30             18380737304687505657.868542387206    1.8380737304687456e+19      2.7016e-13
   40              574398040771484618.4111892661336    5.7439804077148256e+17      3.5836e-13
   50             17949938774108896.406687080708344    1.7949938774108814e+16      4.5909e-13
   60             560935586690903.07775076552656294    5.6093558669090000e+14      5.4868e-13
   70             17529237084090.723212267493155941    1.7529237084090611e+13      6.4014e-13
   80             547788658877.83516390073636271221    5.4778865887783118e+11      7.2727e-13
   90             17118395589.932350856816048884415    1.7118395589932211e+10      8.1700e-13
  100             534949862.18538602630419020106479    5.3494986218538117e+08      9.0781e-13


